date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:38:30	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2294c0861-1339c-59b3ffe585500%22	http://skillbits.in/plugins/themify-icons/fonts/themify.eot?-fvbane	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/themify-icons/fonts/themify9f24.eot	(from http://skillbits.in/plugins/themify-icons/themify-icons.css)
03:38:32	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2294c0861-1339c-59b3ffe585500%22	http://skillbits.in/plugins/themify-icons/fonts/themify.eot?	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/themify-icons/fonts/themifyd41d.eot	(from http://skillbits.in/plugins/themify-icons/themify-icons.css)
03:38:33	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%2294c0862-3931d-59b3ffe585500%22	http://skillbits.in/plugins/themify-icons/fonts/themify.svg?-fvbane	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/themify-icons/fonts/themify9f24.svg	(from http://skillbits.in/plugins/themify-icons/themify-icons.css)
03:38:33	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:08:36%20GMT	http://skillbits.in/fonts/Futura-Bold.woff	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/fonts/Futura-Bold.2b.delayed	(from http://skillbits.in/css/style.css)
03:38:34	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:08:37%20GMT	http://skillbits.in/images/favicon.ico	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/favicon.html	(from http://skillbits.in/)
03:38:34	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:08:38%20GMT	http://skillbits.in/@@page-link	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/@@page-link.2d.delayed	(from http://skillbits.in/about.html)
03:38:38	22019/22019	---M--	200	added ('OK')	image/jpeg	etag:%2294c075e-5603-59b3ffe39d080%22	http://skillbits.in/images/about/about-page.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/about/about-page.jpg	(from http://skillbits.in/about.html)
03:38:41	42727/42727	---M--	200	added ('OK')	image/jpeg	etag:%2294c07ae-a6e7-59b3ffe39d080%22	http://skillbits.in/images/backgrounds/page-title.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/backgrounds/page-title.jpg	(from http://skillbits.in/about.html)
03:38:41	7919/7919	---M--	200	added ('OK')	text/html	etag:%2294c07d7-1eef-59b817afc6100%22	http://skillbits.in/images/images.jfif	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/images.html	(from http://skillbits.in/Temporary_Staffing.html)
03:38:43	78584/78584	---M--	200	added ('OK')	font/ttf	etag:%2294c0863-132f8-59b3ffe585500%22	http://skillbits.in/plugins/themify-icons/fonts/themify.ttf?-fvbane	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/plugins/themify-icons/fonts/themify9f24.ttf	(from http://skillbits.in/plugins/themify-icons/themify-icons.css)
03:38:45	40322/40322	---M--	200	added ('OK')	image/jpeg	etag:%2294c07ff-9d82-59b8164748e80%22	http://skillbits.in/images/s1.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/s1.jpg	(from http://skillbits.in/Staffing_and_Recruitment.html)
03:38:56	77021/77021	---M--	200	added ('OK')	image/png	etag:%2294c07f2-12cdd-59b8196c2f980%22	http://skillbits.in/images/payroll.png	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/payroll.png	(from http://skillbits.in/Payroll_Outsourcing.html)
03:38:58	74780/74780	---M--	200	added ('OK')	image/png	etag:%2294c07fd-1241c-59b819f583d80%22	http://skillbits.in/images/rpo.png	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/rpo.png	(from http://skillbits.in/RPO.html)
03:38:58	501171/501171	---M--	200	added ('OK')	image/png	etag:%2294c07b3-7a5b3-59b3ffe39d080%22	http://skillbits.in/images/banner/banner-feature.png	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/banner/banner-feature.png	(from http://skillbits.in/)
03:38:58	20139/20139	---M-Z	200	added ('OK')	text/html	etag:%2294c0748-4cff-5adb869b0dd38-gzip%22	http://skillbits.in/Full_stack_developer.html	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/Full_stack_developer.html	(from http://skillbits.in/career.html)
03:38:59	114411/114411	---M--	200	added ('OK')	image/png	etag:%2294c0802-1beeb-59b818a019800%22	http://skillbits.in/images/s4.png	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/s4.png	(from http://skillbits.in/Soft_Skill_Training.html)
03:39:00	18081/18081	---M-Z	200	added ('OK')	text/html	etag:%2294c086a-44f5-5adb873f06a22-gzip%22	http://skillbits.in/UI_developer.html	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/UI_developer.html	(from http://skillbits.in/career.html)
03:39:08	77026/77026	---M--	200	added ('OK')	image/png	etag:%2294c07d6-12ce2-59b81a9002a00%22	http://skillbits.in/images/hr.png	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/hr.png	(from http://skillbits.in/HR_Policy.html)
03:39:09	19325/19325	---M-Z	200	added ('OK')	text/html	etag:%2294c0830-49d1-5adb86d7d194c-gzip%22	http://skillbits.in/Java_developer.html	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/Java_developer.html	(from http://skillbits.in/career.html)
03:39:09	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:09:12%20GMT	http://skillbits.in/courses.html	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/courses.html	(from http://skillbits.in/)
03:39:10	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:09:13%20GMT	http://skillbits.in/images/favicon.ico	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/favicon.html	(from http://skillbits.in/)
03:39:17	132082/132082	---M--	200	added ('OK')	image/jpeg	etag:%2294c07b4-203f2-59b1c86697100%22	http://skillbits.in/images/bg_1.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/bg_1.jpg	(from http://skillbits.in/career.html)
03:39:23	202060/202060	---M--	200	added ('OK')	image/jpeg	etag:%2294c07b5-3154c-59b1c86697100%22	http://skillbits.in/images/bg_2.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/bg_2.jpg	(from http://skillbits.in/career.html)
03:39:23	204200/204200	---M--	200	added ('OK')	image/jpeg	etag:%2294c07b6-31da8-59b1c86697100%22	http://skillbits.in/images/bg_3.jpg	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/images/bg_3.jpg	(from http://skillbits.in/career.html)
03:39:23	0/-1	---M--	500	error ('')			http://skillbits.in/fonts/Futura-Bold.woff	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/fonts/Futura-Bold.html	(from http://skillbits.in/css/style.css)
03:39:23	0/-1	---M--	500	error ('')			http://skillbits.in/@@page-link	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/@@page-link.html	(from http://skillbits.in/about.html)
03:39:24	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2009%20Aug%202021%2022:09:27%20GMT	http://skillbits.in/courses.html	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/courses.html	(from http://skillbits.in/)
03:39:24	0/-1	---M--	500	error ('')			http://skillbits.in/fonts/Futura-Bold.woff	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/fonts/Futura-Bold.html	(from http://skillbits.in/css/style.css)
03:39:24	0/-1	---M--	500	error ('')			http://skillbits.in/@@page-link	C:/Users/shrey/Desktop/Skillbit/Skillbit/skillbits.in/@@page-link.html	(from http://skillbits.in/about.html)
